web_name,gw,SiB,player_id
Rashford,2,0.0,385
Ødegaard,2,1.0,13
Rice,2,1.0,16
L.Paquetá,2,2.0,527
Nørgaard,2,1.0,101
Bruno G.,2,1.0,394
Mac Allister,2,0.0,329
M.Fernandes,2,0.0,623
Buonanotte,2,0.0,117
Højlund,2,0.0,375
Tavernier,2,1.0,83
Damsgaard,2,0.0,89
Lacroix,2,,650
Harrison,2,2.0,224
Jones,2,0.0,324
Gabriel,2,0.0,3
Nkunku,2,0.0,181
Virgil,2,1.0,339
J.Ayew,2,0.0,192
Armstrong,2,1.0,603
De Bruyne,2,0.0,345
Adingra,2,1.0,113
Marmoush,2,,755
J.Gomes,2,0.0,553
McGinn,2,0.0,48
Burn,2,2.0,395
Szmodics,2,0.0,611
Justin,2,0.0,295
G.Jesus,2,0.0,2
Tielemans,2,0.0,57
Bailey,2,1.0,28
Ndidi,2,1.0,300
De Ligt,2,0.0,593
Doku,2,0.0,346
Kamaldeen,2,0.0,462
Konaté,2,2.0,326
Yates,2,0.0,449
Harwood-Bellis,2,0.0,461
Jota Silva,2,0.0,596
Ayari,2,1.0,600
Sancho,2,0.0,386
O'Shea,2,,630
Mavididi,2,0.0,298
N.Williams,2,2.0,437
Wilson,2,0.0,259
Tete,2,1.0,257
Tel,2,,768
Romero,2,3.0,498
Dibling,2,0.0,608
Dalot,2,0.0,369
Hutchinson,2,0.0,274
Casemiro,2,1.0,368
Van den Berg,2,0.0,338
Richarlison,2,0.0,497
Christie,2,0.0,63
Anderson,2,1.0,423
Colwill,2,0.0,162
Cucurella,2,0.0,163
Collins,2,2.0,88
Tarkowski,2,3.0,236
Antonio,2,2.0,512
M.Asensio,2,,762
Brooks,2,0.0,62
Aribo,2,0.0,452
Enes Ünal,2,0.0,65
O'Riley,2,,629
João Félix,2,2.0,621
Tonali,2,0.0,417
Lerma,2,0.0,206
Mavropanos,2,0.0,528
Andreas,2,0.0,240
Nwaneri,2,0.0,12
Enciso,2,0.0,121
Gündogan,2,0.0,625
Daka,2,0.0,289
Willock,2,1.0,420
Lindstrøm,2,1.0,577
Lewis-Potter,2,0.0,98
Füllkrug,2,2.0,589
Summerville,2,0.0,587
Bentancur,2,0.0,480
Walker-Peters,2,1.0,476
Martinez,2,0.0,47
Schär,2,0.0,415
Alexander-Arnold,2,1.0,311
Andersen,2,0.0,191
Van Hecke,2,0.0,144
Wan-Bissaka,2,0.0,388
Ramsey,2,1.0,53
Ings,2,0.0,523
Munetsi,2,,770
P.M.Sarr,2,0.0,499
Guéhi,2,0.0,200
Maguire,2,1.0,377
Hinshelwood,2,0.0,126
Chalobah,2,0.0,159
Grealish,2,1.0,349
Sessegnon,2,0.0,579
McNeil,2,1.0,230
J.Timber,2,0.0,6
Huijsen,2,0.0,580
Kilman,2,1.0,524
Nelson,2,0.0,10
Jaden,2,0.0,569
Tosin,2,0.0,187
Murillo,2,0.0,436
Robertson,2,2.0,335
C.Soler,2,,654
Onana,2,1.0,233
Mitchell,2,0.0,210
Sinisterra,2,1.0,80
Kerkez,2,0.0,70
Dunk,2,0.0,120
Sarabia,2,0.0,565
Faes,2,3.0,291
Pedro Porro,2,0.0,495
Bellegarde,2,0.0,535
Doherty,2,0.0,543
Barkley,2,0.0,29
McAtee,2,0.0,357
Janelt,2,0.0,94
Maatsen,2,0.0,45
Zabarnyi,2,0.0,85
Guedes,2,0.0,548
Carvalho,2,0.0,314
Elliott,2,0.0,319
Alcaraz,2,0.0,450
Awoniyi,2,0.0,424
Pinnock,2,0.0,104
Burgess,2,0.0,263
C.Richards,2,1.0,194
Rúben,2,0.0,361
Kovačić,2,0.0,354
Kamada,2,0.0,205
Bassey,2,0.0,241
Mings,2,0.0,49
J.Clarke,2,,631
Hirst,2,0.0,272
Sugawara,2,0.0,474
Konsa,2,0.0,44
Lewis,2,1.0,355
Emerson,2,0.0,520
Branthwaite,2,0.0,219
Brereton Díaz,2,0.0,584
Malen,2,,725
Ajer,2,0.0,86
Bradley,2,0.0,313
Greaves,2,0.0,270
Dominguez,2,0.0,431
Mario Jr.,2,1.0,557
Estupiñan,2,0.0,122
Castagne,2,0.0,244
Mykolenko,2,0.0,231
Keane,2,0.0,228
Thomas,2,0.0,20
Gusto,2,0.0,171
Ferguson,2,0.0,123
Sosa,2,0.0,620
Mount,2,1.0,382
Dorgu,2,,766
Scott,2,0.0,77
McAteer,2,0.0,299
Broadhead,2,0.0,262
Chaplin,2,0.0,265
Calafiori,2,0.0,578
Hall,2,0.0,399
El Khannouss,2,,635
Van de Ven,2,0.0,506
Bergvall,2,0.0,481
Baleba,2,0.0,115
Mainoo,2,0.0,378
Almirón,2,0.0,391
Odobert,2,1.0,612
Sterling,2,0.0,186
Wieffer,2,0.0,149
Toti,2,0.0,567
Davis,2,0.0,267
Mazraoui,2,0.0,594
Pau,2,0.0,52
Ugarte,2,,652
Saliba,2,0.0,18
S.Bueno,2,0.0,564
Hill,2,0.0,68
Longstaff,2,0.0,410
Adams,2,0.0,60
Ugochukwu,2,0.0,188
Taylor,2,0.0,281
Burns,2,0.0,264
Wilson,2,0.0,259
Johnson,2,0.0,275
Yarmoliuk,2,0.0,111
O’Reilly,2,0.0,607
N.Semedo,2,0.0,559
Yoro,2,0.0,572
Mangala,2,,651
Hughes,2,0.0,203
Zinchenko,2,0.0,25
Dawson,2,0.0,542
