web_name,gw,npxgi,player_id
Chiquinho,1,0.0,537
Gonzalez,1,0.0,547
B.Traore,1,0.0,534
Zouma,1,0.0,532
Ozoh,1,0.0,212
Matthews,1,0.0,209
Howe,1,,746
Johnstone,1,0.0,204
Holding,1,0.0,202
Nedeljkovic,1,0.0,50
Olsen,1,0.0,51
Ebiowei,1,0.0,197
Bentley,1,0.0,536
Fábio Silva,1,0.0,545
Mazilu,1,0.0,133
Kozlowski,1,0.0,130
Wiley,1,0.0,575
Pivas,1,0.0,574
Muric,1,0.0,568
Podence,1,0.0,562
Glasner,1,,741
Earthy,1,0.0,519
Moyes,1,,742
Benda,1,0.0,242
Slot,1,,744
Maupay,1,0.0,229
J.Virginia,1,0.0,227
N.Aguerd,1,0.0,529
Foderingham,1,0.0,522
Fabianski,1,0.0,521
M.Salah,2,0.5,328
Haaland,2,1.0,351
Palmer,2,1.1,182
Isak,2,0.5,401
Wissa,2,0.0,110
I.Sarr,2,0.5,585
Watkins,2,1.0,58
N.Jackson,2,0.3,180
Luis Díaz,2,1.6,327
Cunha,2,1.2,541
Semenyo,2,1.8,78
B.Fernandes,2,0.9,366
Mbeumo,2,0.1,99
Eze,2,0.7,199
J.Murphy,2,0.0,402
Szoboszlai,2,0.3,336
O.Dango,2,0.3,74
Rogers,2,0.5,54
Trossard,2,0.2,23
Mitoma,2,0.8,136
Mateta,2,0.7,207
Saka,2,0.2,17
Bowen,2,0.5,514
Solanke,2,0.0,82
Enzo,2,0.1,168
Son,2,1.3,503
Madueke,2,0.9,177
Wood,2,0.9,447
Havertz,2,0.3,4
De Bruyne,2,1.5,345
Johnson,2,0.2,275
Evanilson,2,0.7,617
Raúl,2,0.0,252
Strand Larsen,2,0.9,566
Savinho,2,0.7,571
Vardy,2,0.0,306
Martinelli,2,0.4,9
Schade,2,0.0,106
Garnacho,2,0.7,372
Gordon,2,0.9,398
Iwobi,2,0.2,247
Damsgaard,2,0.0,89
Kulusevski,2,0.2,492
Barnes,2,0.8,392
João Pedro,2,0.6,129
Gakpo,2,0.0,321
Gibbs-White,2,0.6,433
Kluivert,2,0.1,71
Foden,2,0.0,348
Rice,2,0.5,16
Welbeck,2,1.3,148
Muñoz,2,0.0,211
Elanga,2,0.5,432
Delap,2,0.0,268
Bruno G.,2,0.2,394
Tielemans,2,0.2,57
Ødegaard,2,0.5,13
Maddison,2,0.8,494
Kudus,2,0.1,525
Diogo J.,2,1.3,317
Neto,2,0.1,73
Minteh,2,0.5,135
Amad,2,0.3,364
Tavernier,2,0.9,83
Alexander-Arnold,2,0.6,311
Adama,2,1.0,239
Bernardo,2,0.1,342
Rashford,2,0.0,385
Aït-Nouri,2,0.6,533
Merino,2,,633
Mac Allister,2,0.2,329
Georginio,2,0.0,618
Andreas,2,0.5,240
Harrison,2,0.5,224
Nketiah,2,0.0,11
Mitchell,2,0.1,210
Beto,2,0.0,218
Calvert-Lewin,2,0.1,220
Nkunku,2,0.1,181
Marmoush,2,,755
Souček,2,0.1,530
Darwin,2,0.0,316
Muniz,2,0.7,251
Buonanotte,2,0.2,117
M.Fernandes,2,0.0,623
Zirkzee,2,0.1,389
L.Paquetá,2,0.1,527
Højlund,2,0.0,375
Joelinton,2,0.2,403
Pedro Porro,2,0.0,495
Smith Rowe,2,0.5,19
Robertson,2,0.5,335
Gvardiol,2,0.0,350
El Khannouss,2,,635
Doku,2,0.9,346
McGinn,2,0.0,48
A.Doucoure,2,0.1,217
Hutchinson,2,0.0,274
Tonali,2,0.0,417
Lewis-Potter,2,0.1,98
Gündogan,2,0.0,625
Davis,2,0.0,267
Ndiaye,2,0.0,232
Kovačić,2,0.0,354
Cook,2,0.3,64
Digne,2,0.0,36
Ayari,2,0.0,600
P.M.Sarr,2,0.0,499
McNeil,2,0.6,230
Christie,2,0.1,63
Sancho,2,0.0,386
Jones,2,0.0,324
Hudson-Odoi,2,0.3,434
Jota Silva,2,0.0,596
Adingra,2,0.6,113
Duran,2,0.1,38
Matheus N.,2,0.0,356
Anderson,2,0.0,423
Sarabia,2,0.0,565
Wilson,2,0.0,259
Richarlison,2,0.0,497
Wan-Bissaka,2,0.0,388
Robinson,2,0.2,255
Munetsi,2,,770
Nørgaard,2,0.1,101
Archer,2,0.0,27
Mavididi,2,0.0,298
Hall,2,0.1,399
Cucurella,2,0.0,163
Kerkez,2,0.0,70
Bellegarde,2,0.0,535
Collins,2,0.1,88
Tarkowski,2,0.4,236
Lacroix,2,,650
Dalot,2,0.2,369
Hughes,2,0.0,203
Baleba,2,0.0,115
Thomas,2,0.1,20
Milenković,2,1.0,573
N.Williams,2,0.3,437
Lindstrøm,2,0.0,577
Onuachu,2,0.0,470
Dibling,2,0.0,608
Chalobah,2,0.0,159
Gravenberch,2,0.0,323
Aribo,2,0.0,452
O'Riley,2,,629
Brooks,2,0.0,62
Wharton,2,0.3,216
Enciso,2,0.0,121
Ndidi,2,0.1,300
Armstrong,2,0.0,603
Ramsey,2,0.0,53
Huijsen,2,0.0,580
Szmodics,2,0.3,611
M.Asensio,2,,762
G.Jesus,2,0.0,2
J.Gomes,2,0.0,553
Guedes,2,0.0,548
J.Ayew,2,0.1,192
Willock,2,0.1,420
Casemiro,2,0.1,368
Saliba,2,0.0,18
Guéhi,2,0.0,200
Eriksen,2,0.0,370
Werner,2,0.0,509
Antonio,2,0.6,512
Yates,2,0.1,449
McAtee,2,0.0,357
Gabriel,2,0.0,3
Summerville,2,0.0,587
Ings,2,0.0,523
N.Semedo,2,0.0,559
Bailey,2,0.0,28
Füllkrug,2,0.3,589
Walker-Peters,2,0.2,476
Roerslev,2,0.0,105
Maatsen,2,0.1,45
Estupiñan,2,0.0,122
Lukić,2,0.0,249
Janelt,2,0.0,94
Caicedo,2,0.0,157
Grealish,2,0.1,349
Alcaraz,2,0.0,450
Schär,2,0.0,415
Tel,2,,768
Manning,2,0.0,467
Carvalho,2,0.0,314
Enes Ünal,2,0.0,65
Ward-Prowse,2,0.0,531
Emerson,2,0.0,520
Harwood-Bellis,2,0.0,461
Mount,2,0.1,382
J.Clarke,2,,631
Virgil,2,0.0,339
Gusto,2,0.1,171
Kamada,2,0.0,205
Livramento,2,0.0,409
Jaden,2,0.0,569
Van den Berg,2,0.0,338
Van Hecke,2,0.0,144
De Ligt,2,0.0,593
Gruda,2,0.0,595
João Félix,2,0.2,621
C.Soler,2,,654
Konaté,2,0.2,326
Hinshelwood,2,0.0,126
Sinisterra,2,0.0,80
Burn,2,0.3,395
Doherty,2,0.1,543
Colwill,2,0.0,162
Dominguez,2,0.1,431
Lerma,2,0.0,206
Murillo,2,0.1,436
Onana,2,0.2,233
Sugawara,2,0.0,474
Sessegnon,2,0.0,579
Kilman,2,0.2,524
Nwaneri,2,0.0,12
Gana,2,0.0,222
Nelson,2,0.0,10
Romero,2,0.7,498
Mario Jr.,2,0.1,557
Spence,2,0.0,504
Martinez,2,0.0,47
Tsimikas,2,0.0,337
Maguire,2,0.0,377
Pinnock,2,0.0,104
Hirst,2,0.0,272
Ugarte,2,,652
Barkley,2,0.0,29
Odobert,2,0.0,612
Mavropanos,2,0.0,528
Burns,2,0.0,264
Awoniyi,2,0.0,424
Adams,2,0.0,60
Mainoo,2,0.0,378
Young,2,0.0,656
Broadhead,2,0.0,262
Tete,2,0.2,257
Mazraoui,2,0.1,594
Kamaldeen,2,0.0,462
Chaplin,2,0.0,265
O'Shea,2,,630
A.Fatawu,2,0.1,570
De Cordova-Reid,2,0.0,290
Ajer,2,0.0,86
Ugochukwu,2,0.0,188
Mykolenko,2,0.0,231
Wieffer,2,0.0,149
Zabarnyi,2,0.0,85
Van de Ven,2,0.3,506
Justin,2,0.0,295
Lewis,2,0.5,355
Bentancur,2,0.0,480
Rúben,2,0.0,361
Faes,2,0.3,291
Ederson M.,2,0.0,347
J.Timber,2,0.0,6
Yarmoliuk,2,0.0,111
Kamara,2,0.0,42
Jensen,2,0.2,95
Branthwaite,2,0.0,219
Malen,2,,725
Sosa,2,0.0,620
Philip,2,0.0,76
Mangala,2,,651
O’Reilly,2,0.0,607
Aina,2,0.1,422
Ferguson,2,0.0,123
Akanji,2,0.1,340
Cresswell,2,0.0,517
Downes,2,0.1,518
Toti,2,0.5,567
Burgess,2,0.0,263
Elliott,2,0.0,319
Alex Moreno,2,0.0,26
Sterling,2,0.0,186
Scott,2,0.0,77
McAteer,2,0.0,299
